,Line,Group,Left,Right,ref_transcript,hyp_transcript,asr_hyp,interview_name,diff_name,diff_typ
58,5780,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
59,7156,daughter <-> daughter's,daughter , daughter's,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
60,7596,*** <-> is,*** , is,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
61,3296,*** <-> do,*** , do,aa-rev,amber,False,VLD_se0_ag4_f_02_1,invariant_be_19b,morpho_syntax
62,6855,*** <-> do,*** , do,aa-rev,amber,False,VLD_se0_ag4_f_02_1,invariant_be_19b,morpho_syntax
63,137,school <-> schools,school , schools,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
64,207,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
65,294,hand-me-downs <-> hand-me-down,hand-me-downs , hand-me-down,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
66,848,teacher <-> teachers,teacher , teachers,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
67,1271,neighborhoods <-> neighborhood,neighborhoods , neighborhood,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
68,1524,kinds <-> kind,kinds , kind,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
69,1722,cent <-> cents,cent , cents,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
70,1812,projects <-> project,projects , project,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
71,1859,projects <-> project,projects , project,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
72,2733,bathroom <-> bathrooms,bathroom , bathrooms,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
73,2853,rights <-> right,rights , right,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
74,3702,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
75,3704,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
76,4098,gets <-> get,gets , get,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
77,4397,kinds <-> kind,kinds , kind,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
78,5557,doctorates <-> doctorate,doctorates , doctorate,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
79,6048,tvs <-> tv,tvs , tv,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
80,6414,customer <-> customers,customer , customers,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
81,6495,opera <-> operas,opera , operas,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
82,6553,customers <-> customer,customers , customer,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
83,7530,know <-> knows,know , knows,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
84,51,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
85,96,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
86,139,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
87,255,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
88,262,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
89,2107,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
90,2325,were <-> was,were , was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
91,3273,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
92,4356,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
93,6809,were <-> was,were , was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
94,943,call <-> called,call , called,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
95,1601,start <-> started,start , started,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
96,2695,colored <-> color,colored , color,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
97,2850,started <-> start,started , start,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
98,3876,walked <-> walk,walked , walk,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
99,4171,called <-> call,called , call,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
100,5923,turn <-> turned,turn , turned,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
101,7002,call <-> called,call , called,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
102,672,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
103,1696,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
104,3428,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
105,4779,he <-> ***,he , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
106,5179,*** <-> they,*** , they,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
107,5472,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
108,5676,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
109,5994,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
110,6037,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
111,6334,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
112,6896,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
113,7571,ain't <-> is not,ain't , is not,aa-rev,amber,False,VLD_se0_ag4_f_02_1,aint_sub_22a,morpho_syntax
114,1923,*** <-> if,*** , if,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
115,5405,if <-> ***,if , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
116,6073,if <-> ***,if , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
117,342,gon' <-> going to,gon' , going to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
118,1428,bout <-> about,bout , about,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
119,2202,about <-> ***,about , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
120,2543,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
121,2869,them <-> ***,them , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
122,2957,them <-> then,them , then,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
123,3143,gon' <-> gonna,gon' , gonna,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
124,3515,*** <-> because,*** , because,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
125,4044,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
126,4231,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
127,4315,around <-> ***,around , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
128,4419,them <-> it,them , it,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
129,4481,gon' <-> going to,gon' , going to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
130,4485,won't <-> wanna,won't , wanna,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
131,4723,*** <-> 'em,*** , 'em,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
132,5964,because <-> it was,because , it was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
133,7200,them <-> me,them , me,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
134,7431,remember <-> remember-,remember , remember-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
135,7543,wanna <-> wanted to,wanna , wanted to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
136,701,a <-> ***,a , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
137,733,a <-> on,a , on,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
138,870,back then <-> i,back then , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
139,1049,you <-> i,you , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
140,1087,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
141,1163,i <-> out,i , out,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
142,1499,i <-> i-,i , i-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
143,1621,f <-> ***,f , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
144,1761,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
145,1785,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
146,1797,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
147,2343,uh the <-> a,uh the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
148,2550,i <-> it's-,i , it's-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
149,2568,i <-> i-i,i , i-i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
150,2796,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
151,3040,no <-> a,no , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
152,3048,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
153,3177,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
154,3841,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
155,4531,i <-> i've,i , i've,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
156,5157,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
157,5281,i <-> i-i,i , i-i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
158,5382,a <-> ***,a , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
159,5389,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
160,5622,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
161,5816,s <-> ***,s , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
162,5962,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
163,5980,t <-> ***,t , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
164,6046,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
165,6252,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
166,6742,*** <-> a,*** , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
167,6847,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
168,6974,it <-> i,it , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
169,7021,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
170,7182,you <-> i,you , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
171,7248,i <-> he,i , he,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
172,7293,of the <-> a,of the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
173,7315,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
174,7343,that <-> a,that , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
175,7453,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
176,7466,mama <-> mamma,mama , mamma,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
177,5309,how'd <-> how did,how'd , how did,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
178,715,uh-uh <-> mm-mm,uh-uh , mm-mm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
179,1416,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
180,2410,ah <-> uh,ah , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
181,3388,uh-uh <-> mm-hmm,uh-uh , mm-hmm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
182,3731,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
183,3763,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
184,3918,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
185,3970,oh <-> uh,oh , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
186,4806,uh-uh <-> mm-hmm,uh-uh , mm-hmm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
187,5117,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
188,5132,uh-uh <-> mm-mm,uh-uh , mm-mm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
189,5375,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
190,6853,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
191,7398,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
192,7418,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
193,199,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
194,259,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
195,490,um <-> ***,um , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
196,603,uh <-> ***,uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
197,794,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
198,835,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
199,1055,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
200,1099,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
201,1175,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
202,1281,yep <-> ***,yep , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
203,1298,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
204,1370,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
205,1606,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
206,1774,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
207,1986,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
208,2145,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
209,2300,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
210,2692,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
211,3028,*** <-> mm-hmm,*** , mm-hmm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
212,3172,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
213,3622,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
214,3634,*** <-> mm-hmm,*** , mm-hmm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
215,4103,uh-huh <-> ***,uh-huh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
216,4126,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
217,4238,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
218,4600,*** <-> uh,*** , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
219,4846,*** <-> mm-hmm,*** , mm-hmm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
220,5111,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
221,5665,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
222,5692,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
223,5738,uh <-> ***,uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
224,5825,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
225,5908,*** <-> uh,*** , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
226,6145,mm-hmm <-> ***,mm-hmm , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
